,pickup,dropoff,passengers,distance,fare,tip,tolls,total,color,pickup_zone,dropoff_zone,pickup_borough,dropoff_borough,predicted,probability space %,calibration logreg probability space %,calibration isoreg probability space %
742,2019-03-05 09:52:36,2019-03-05 10:03:47,1,1.32,8.5,0.0,0.0,11.8,yellow,Greenwich Village North,Murray Hill,Manhattan,Manhattan,1,92.29,93.86,93.78
4824,2019-03-17 13:16:13,2019-03-17 13:40:32,1,2.9,17.0,0.0,0.0,20.3,yellow,Clinton East,Lenox Hill East,Manhattan,Manhattan,1,87.55,91.4,93.78
3108,2019-03-14 01:33:26,2019-03-14 01:45:58,1,4.17,14.5,3.66,0.0,21.96,yellow,Lower East Side,Midtown Center,Manhattan,Manhattan,0,0.02,1.24,0.0
4985,2019-03-05 11:41:34,2019-03-05 12:12:45,1,4.03,21.5,2.5,0.0,27.3,yellow,Clinton West,Little Italy/NoLiTa,Manhattan,Manhattan,0,0.03,1.24,0.0
219,2019-03-08 18:08:03,2019-03-08 18:15:42,1,1.4,7.0,2.25,0.0,13.55,yellow,Kips Bay,Alphabet City,Manhattan,Manhattan,0,0.01,1.24,0.0
4154,2019-03-11 18:57:33,2019-03-11 19:06:21,1,1.1,7.5,2.0,0.0,13.8,yellow,Midtown East,Penn Station/Madison Sq West,Manhattan,Manhattan,0,0.01,1.24,0.0
2280,2019-03-17 12:10:05,2019-03-17 12:15:02,1,1.0,6.0,0.7,0.0,10.0,yellow,Lenox Hill East,Yorkville East,Manhattan,Manhattan,0,0.07,1.24,0.0
5456,2019-03-12 21:11:03,2019-03-12 21:41:36,1,15.78,42.82,0.0,5.76,49.08,green,Maspeth,Marble Hill,Queens,Manhattan,0,9.28,2.49,4.76
1684,2019-03-28 19:53:03,2019-03-28 20:04:10,6,2.39,10.5,2.96,0.0,17.76,yellow,Midtown Center,Long Island City/Hunters Point,Manhattan,Queens,0,0.2,1.25,0.0
4889,2019-03-28 12:24:30,2019-03-28 12:28:44,2,0.95,5.0,1.66,0.0,9.96,yellow,Upper West Side North,Manhattan Valley,Manhattan,Manhattan,0,0.01,1.24,0.0
5395,2019-03-02 19:36:34,2019-03-02 20:05:06,1,3.37,18.5,3.0,0.0,24.8,yellow,Upper East Side South,Union Sq,Manhattan,Manhattan,0,0.02,1.24,0.0
5710,2019-03-10 20:56:29,2019-03-10 21:02:45,1,0.9,6.0,0.0,0.0,7.3,green,Jackson Heights,Jackson Heights,Queens,Queens,1,97.29,95.74,100.0
468,2019-03-10 18:37:52,2019-03-10 18:58:09,1,4.0,16.5,4.15,0.0,24.95,yellow,Union Sq,Upper West Side North,Manhattan,Manhattan,0,0.02,1.24,0.0
6200,2019-03-15 18:12:34,2019-03-15 18:56:35,1,12.57,39.35,0.0,0.0,39.85,green,Gravesend,Bedford,Brooklyn,Brooklyn,0,6.67,2.05,0.0
